"Date","Depth","Site","Plot","Year","Value"
2011-08-19,40,"IN_Randolph","SW",2011,0.339
2011-08-19,60,"IN_Randolph","SW",2011,0.334
2011-08-19,100,"IN_Randolph","SW",2011,0.411
2011-08-20,10,"IN_Randolph","SW",2011,0.243
2011-08-20,20,"IN_Randolph","SW",2011,0.326
2011-08-20,40,"IN_Randolph","SW",2011,0.331
2011-08-20,60,"IN_Randolph","SW",2011,0.331
2011-08-20,100,"IN_Randolph","SW",2011,0.409
2011-08-21,10,"IN_Randolph","SW",2011,0.239
2011-08-21,20,"IN_Randolph","SW",2011,0.324
2011-08-21,40,"IN_Randolph","SW",2011,0.324
2011-08-21,60,"IN_Randolph","SW",2011,0.328
2011-08-21,100,"IN_Randolph","SW",2011,0.407
2011-08-22,10,"IN_Randolph","SW",2011,0.233
2011-08-22,20,"IN_Randolph","SW",2011,0.318
2011-08-22,40,"IN_Randolph","SW",2011,0.315
2011-08-22,60,"IN_Randolph","SW",2011,0.324
2011-08-22,100,"IN_Randolph","SW",2011,0.406
2011-08-23,10,"IN_Randolph","SW",2011,0.231
2011-08-23,20,"IN_Randolph","SW",2011,0.314
2011-08-23,40,"IN_Randolph","SW",2011,0.307
2011-08-23,60,"IN_Randolph","SW",2011,0.319
2011-08-23,100,"IN_Randolph","SW",2011,0.401
2011-08-24,10,"IN_Randolph","SW",2011,0.234
2011-08-24,20,"IN_Randolph","SW",2011,0.313
2011-08-24,40,"IN_Randolph","SW",2011,0.3
2011-08-24,60,"IN_Randolph","SW",2011,0.312
2011-08-24,100,"IN_Randolph","SW",2011,0.397
2011-08-25,10,"IN_Randolph","SW",2011,0.234
2011-08-25,20,"IN_Randolph","SW",2011,0.312
2011-08-25,40,"IN_Randolph","SW",2011,0.297
2011-08-25,60,"IN_Randolph","SW",2011,0.307
2011-08-25,100,"IN_Randolph","SW",2011,0.388
2011-08-26,10,"IN_Randolph","SW",2011,0.231
2011-08-26,20,"IN_Randolph","SW",2011,0.309
2011-08-26,40,"IN_Randolph","SW",2011,0.293
2011-08-26,60,"IN_Randolph","SW",2011,0.303
2011-08-26,100,"IN_Randolph","SW",2011,0.385
2011-08-27,10,"IN_Randolph","SW",2011,0.229
2011-08-27,20,"IN_Randolph","SW",2011,0.306
2011-08-27,40,"IN_Randolph","SW",2011,0.29
2011-08-27,60,"IN_Randolph","SW",2011,0.299
2011-08-27,100,"IN_Randolph","SW",2011,0.381
2011-08-28,10,"IN_Randolph","SW",2011,0.228
2011-08-28,20,"IN_Randolph","SW",2011,0.304
2011-08-28,40,"IN_Randolph","SW",2011,0.287
2011-08-28,60,"IN_Randolph","SW",2011,0.295
2011-08-28,100,"IN_Randolph","SW",2011,0.376
2011-08-29,10,"IN_Randolph","SW",2011,0.226
2011-08-29,20,"IN_Randolph","SW",2011,0.301
2011-08-29,40,"IN_Randolph","SW",2011,0.284
2011-08-29,60,"IN_Randolph","SW",2011,0.29
2011-08-29,100,"IN_Randolph","SW",2011,0.37
2011-08-30,10,"IN_Randolph","SW",2011,0.223
2011-08-30,20,"IN_Randolph","SW",2011,0.298
2011-08-30,40,"IN_Randolph","SW",2011,0.281
2011-08-30,60,"IN_Randolph","SW",2011,0.286
2011-08-30,100,"IN_Randolph","SW",2011,0.362
2011-08-31,10,"IN_Randolph","SW",2011,0.225
2011-08-31,20,"IN_Randolph","SW",2011,0.298
2011-08-31,40,"IN_Randolph","SW",2011,0.279
2011-08-31,60,"IN_Randolph","SW",2011,0.282
2011-08-31,100,"IN_Randolph","SW",2011,0.352
2011-09-01,10,"IN_Randolph","SW",2011,0.229
2011-09-01,20,"IN_Randolph","SW",2011,0.301
2011-09-01,40,"IN_Randolph","SW",2011,0.278
2011-09-01,60,"IN_Randolph","SW",2011,0.278
